Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account
49,4,1.6,1,0,0,1,0
34,3,1.5,1,0,0,1,0
11,1,1.0,1,0,0,0,0
100,1,2.7,2,0,0,0,0
45,4,1.0,2,0,0,0,0
29,4,0.4,2,155,0,0,0
72,2,1.5,2,0,0,0,0
22,1,0.3,3,0,0,0,0
81,3,0.6,2,104,0,0,0
180,1,8.9,3,0,1,0,0
105,4,2.4,3,0,0,0,0
45,3,0.1,2,0,0,0,0
114,2,3.8,3,0,0,1,0
40,4,2.5,2,0,0,0,0
112,1,2.0,1,0,0,1,0
22,1,1.5,3,0,0,0,0
130,4,4.7,3,134,1,0,0
81,4,2.4,1,0,0,0,0
193,2,8.1,3,0,1,0,0
21,1,0.5,2,0,0,1,0
25,4,0.9,2,111,0,0,0
63,3,2.0,3,0,0,0,0
62,1,1.2,1,260,0,0,0
43,2,0.7,1,163,0,1,0
152,2,3.9,1,159,0,0,0
29,3,0.5,1,97,0,0,0
83,4,0.2,3,0,0,0,0
158,1,2.4,1,0,0,0,0
48,1,2.2,3,0,0,0,0
119,1,3.3,2,0,1,0,1
35,1,1.2,3,122,0,0,0
29,1,2.0,2,0,0,0,0
41,2,0.6,3,193,0,0,0
18,3,0.9,3,0,0,0,0
50,4,1.8,3,0,0,0,0
81,3,0.7,1,0,0,0,0
121,1,2.9,1,0,0,0,0
71,1,1.4,3,198,0,0,0
141,3,5.0,3,0,1,1,1
80,4,0.7,3,285,0,0,0
84,3,1.6,3,0,0,1,0
60,3,2.3,1,0,0,0,0
132,4,1.1,2,412,1,0,0
45,1,0.7,1,0,0,0,0
104,1,5.7,1,0,0,0,0
52,4,2.5,1,0,0,0,0
43,3,0.7,2,153,0,0,0
194,4,0.2,3,211,1,1,1
81,2,4.5,3,0,0,0,0
49,1,1.8,1,0,0,0,0
8,4,0.7,2,0,0,1,0
131,1,2.9,1,0,0,0,0
72,1,0.1,1,207,0,0,0
190,3,2.1,3,240,1,0,0
44,1,0.2,3,0,0,0,0
139,2,8.0,1,0,0,0,0
29,3,0.1,2,0,0,1,1
131,2,1.2,3,0,1,0,0
93,2,0.2,1,0,0,0,0
188,2,4.5,1,455,0,0,0
39,3,1.7,2,0,0,1,0
125,1,5.7,1,112,0,1,0
22,1,1.0,1,0,0,0,0
32,4,0.0,2,0,0,0,0
105,2,3.3,1,0,0,0,0
131,1,3.8,1,0,0,0,0
105,2,2.8,1,336,0,0,0
45,4,2.0,3,132,0,1,0
60,3,2.1,1,0,0,0,0
20,4,0.2,1,0,0,0,0
115,1,3.5,1,0,0,0,0
69,4,1.0,2,0,0,0,0
130,1,5.0,1,0,0,0,0
85,1,4.0,3,0,0,0,0
135,2,3.3,1,0,0,0,0
135,4,3.8,2,0,1,0,1
12,3,0.3,3,0,0,0,0
29,3,0.5,2,0,0,0,0
133,2,2.6,3,0,1,0,0
19,2,0.4,1,118,0,0,0
41,4,1.3,1,174,0,0,0
40,3,2.7,2,0,0,0,0
82,1,4.0,3,0,0,0,0
50,1,2.4,2,0,0,0,0
